table,lev,time,kuski
8,24,"1:00,02",Jokke
8,25,"25,11","AnTTiM [HfK]"
8,26,"27,65",Champi0N
8,27,"38,00",Champi0N
8,28,"54,84",Petri
8,29,"49,82",zeth
8,30,"34,56",KingKong
8,31,"1:28,81",KingKong
8,32,"44,27",KingKong
8,33,"1:43,44",Champi0N
8,34,"38,53",Garion
8,35,"2:38,45",loX
8,36,"1:04,57",Jokke
8,37,"1:01,83",DMC
8,38,"33,89",Stene
8,39,"45,41",Garion
8,40,"1:30,85",loX
8,41,"40,88",KingKong
8,42,"51,59",Mandel
8,43,"1:02,59",Karlis
8,44,"33,71",Joni
8,45,"33,85",zyntifox
8,46,"1:10,11",zeth
8,47,"27,08",zeth
8,48,"54,77",Joni
8,49,"44,39",Joni
8,50,"1:01,13",loX
8,51,"57,57",KingKong
8,52,"26,80",zyntifox
8,53,"18,44",Markku
8,54,"1:56,66",ramone
9,1,"14,37",Stikky
9,2,"16,87",mr
9,3,"20,01",DeG
9,4,"31,68",Champi0N
9,5,"22,31",Ufo
9,6,"33,41",Markku
9,7,"35,56",Champi0N
9,8,"22,55",SoGe
9,9,"1:04,52",Dr_Luni
9,10,"13,66",mr
9,11,"26,52",Joni
9,12,"22,84",Gazoline
9,13,"17,64",TuA
9,14,"18,35",DeG
9,15,"1:07,53",zeth
9,16,"1:34,20",Champi0N
9,17,"58,87",YeeS
9,18,"46,79",ZanguiZ
9,19,"40,20",Champi0N
9,20,"1:06,93",Joni
9,21,"15,15",elg
9,22,"42,86",TuA
9,23,"48,23",Jokke
9,24,"1:00,02",Jokke
9,25,"25,11","AnTTiM [HfK]"
9,26,"27,65",Champi0N
9,27,"38,00",Champi0N
9,28,"54,84",Petri
9,29,"49,82",zeth
9,30,"34,47",KingKong
9,31,"1:28,81",KingKong
9,32,"44,27",KingKong
9,33,"1:40,43",zeth
9,34,"38,53",Garion
9,35,"2:38,45",loX
9,36,"1:04,57",Jokke
9,37,"1:01,83",DMC
9,38,"33,89",Stene
9,39,"45,41",Garion
9,40,"1:30,85",loX
9,41,"40,88",KingKong
9,42,"51,59",Mandel
9,43,"1:02,59",Karlis
9,44,"33,71",Joni
9,45,"33,85",zyntifox
9,46,"1:10,11",zeth
9,47,"26,97",Rainman
9,48,"54,77",Joni
9,49,"43,89",KingKong
9,50,"1:01,13",loX
9,51,"56,53",Fulgore
9,52,"26,80",zyntifox
9,53,"18,34",oizo!
9,54,"1:56,66",ramone
10,1,"14,37",Stikky
10,2,"16,87",mr
10,3,"20,01",DeG
10,4,"31,68",Champi0N
10,5,"22,31",Ufo
10,6,"33,41",Markku
10,7,"35,56",Champi0N
10,8,"22,55",SoGe
10,9,"1:04,52",Dr_Luni
10,10,"13,66",mr
10,11,"26,52",Joni
10,12,"22,84",Gazoline
10,13,"17,64",TuA
10,14,"18,35",DeG
10,15,"1:07,53",zeth
10,16,"1:34,20",Champi0N
10,17,"58,87",YeeS
10,18,"46,79",ZanguiZ
10,19,"40,20",Champi0N
10,20,"1:06,93",Joni
10,21,"15,15",elg
10,22,"42,86",TuA
10,23,"48,23",Jokke
10,24,"1:00,02",Jokke
10,25,"25,11","AnTTiM [HfK]"
10,26,"27,65",Champi0N
10,27,"38,00",Champi0N
10,28,"54,84",Petri
10,29,"49,82",zeth
10,30,"34,25",KingKong
10,31,"1:28,81",KingKong
10,32,"44,27",KingKong
10,33,"1:40,43",zeth
10,34,"38,53",Garion
10,35,"2:38,45",loX
10,36,"1:03,63",Champi0N
10,37,"1:01,83",DMC
10,38,"33,89",Stene
10,39,"45,41",Garion
10,40,"1:30,69",Ufo
10,41,"40,88",KingKong
10,42,"51,45",Jokke
10,43,"1:02,59",Karlis
10,44,"33,71",Joni
10,45,"33,81",Jeppe
10,46,"1:10,11",zeth
10,47,"26,97",Rainman
10,48,"54,77",Joni
10,49,"43,89",KingKong
10,50,"1:01,13",loX
10,51,"56,53",Fulgore
10,52,"26,80",zyntifox
10,53,"18,25",oizo!
10,54,"1:56,66",ramone
11,1,"14,35",BoFaIQ
11,2,"16,87",mr
11,3,"20,01",DeG
11,4,"31,68",Champi0N
11,5,"22,31",Ufo
11,6,"33,24",DMC
11,7,"35,56",Champi0N
11,8,"22,55",SoGe
11,9,"1:04,52",Dr_Luni
11,10,"13,66",mr
11,11,"26,52",Joni
11,12,"22,84",Gazoline
11,13,"17,64",TuA
11,14,"18,35",DeG
11,15,"1:07,49",zeth
11,16,"1:34,20",Champi0N
11,17,"58,80",umiz
11,18,"46,79",ZanguiZ
11,19,"40,10",zeth
11,20,"1:06,93",Joni
11,21,"15,15",elg
11,22,"42,86",TuA
11,23,"48,23",Jokke
11,24,"1:00,02",Jokke
11,25,"25,11","AnTTiM [HfK]"
11,26,"27,65",Champi0N
11,27,"38,00",Champi0N
11,28,"54,84",Petri
11,29,"49,82",zeth
11,30,"34,25",KingKong
11,31,"1:28,81",KingKong
11,32,"43,97",Hotwax
11,33,"1:35,84",zeth
11,34,"38,42","Ekan [BAC]"
11,35,"2:38,45",loX
11,36,"1:03,40",Jokke
11,37,"1:01,83",DMC
11,38,"33,79",KingKong
11,39,"44,90",KingKong
11,40,"1:30,19",loX
11,41,"40,88",KingKong
11,42,"51,45",Jokke
11,43,"1:02,59",Karlis
11,44,"33,65",Tier
11,45,"33,81",Jeppe
11,46,"1:10,11",zeth
11,47,"26,97",Rainman
11,48,"54,77",Joni
11,49,"43,89",KingKong
11,50,"1:01,13",loX
11,51,"56,53",Fulgore
11,52,"26,80",zyntifox
11,53,"18,17",oizo!
11,54,"1:56,66",ramone
12,1,"14,33",BoFaIQ
12,2,"16,87",mr
12,3,"20,01",DeG
12,4,"31,68",Champi0N
12,5,"22,12",Gazoline
12,6,"33,24",DMC
12,7,"35,56",Champi0N
12,8,"22,55",SoGe
12,9,"1:04,52",Dr_Luni
12,10,"13,66",mr
12,11,"26,52",Joni
12,12,"22,84",Gazoline
12,13,"17,64",TuA
12,14,"18,35",DeG
12,15,"1:07,49",zeth
12,16,"1:34,20",Champi0N
12,17,"58,80",umiz
12,18,"46,79",ZanguiZ
12,19,"40,03",Champi0N
12,20,"1:06,93",Joni
12,21,"15,15",elg
12,22,"42,86",TuA
12,23,"48,23",Jokke
12,24,"1:00,02",Jokke
12,25,"25,11","AnTTiM [HfK]"
12,26,"27,65",Champi0N
12,27,"38,00",Champi0N
12,28,"54,84",Petri
12,29,"49,82",zeth
12,30,"34,25",KingKong
12,31,"1:28,81",KingKong
12,32,"43,97",Hotwax
12,33,"1:35,84",zeth
12,34,"38,42","Ekan [BAC]"
12,35,"2:38,45",loX
12,36,"1:03,40",Jokke
12,37,"1:00,70",Ntc
12,38,"33,79",KingKong
12,39,"44,90",KingKong
12,40,"1:30,19",loX
12,41,"40,88",KingKong
12,42,"51,45",Jokke
12,43,"1:02,59",Karlis
12,44,"33,65",Tier
12,45,"33,77",Hotwax
12,46,"1:10,11",zeth
12,47,"26,97",Rainman
12,48,"54,77",Joni
12,49,"43,89",KingKong
12,50,"1:01,13",loX
12,51,"56,53",Fulgore
12,52,"26,80",zyntifox
12,53,"18,17",oizo!
12,54,"1:55,98",Champi0N
13,1,"14,33",BoFaIQ
13,2,"16,87",mr
13,3,"20,01",DeG
13,4,"31,68",Champi0N
13,5,"22,12",Gazoline
13,6,"33,24",DMC
13,7,"35,56",Champi0N
13,8,"22,55",SoGe
13,9,"1:04,52",Dr_Luni
13,10,"13,66",mr
13,11,"26,52",Joni
13,12,"22,84",Gazoline
13,13,"17,64",TuA
13,14,"18,35",DeG
13,15,"1:07,49",zeth
13,16,"1:34,20",Champi0N
13,17,"58,80",umiz
13,18,"46,79",ZanguiZ
