table,lev,lev_name,time,kuski
5,54,"Apple Harvest","1:56,66",ramone
6,1,"Warm Up","14,37",Stikky
6,2,"Flat Track","16,88",zyntifox
6,3,"Twin Peaks","20,01",DeG
6,4,"Over and Under","31,96",Champi0N
6,5,"Uphill Battle","22,41",Ufo
6,6,"Long Haul","33,41",Markku
6,7,"Hi Flyer","35,56",Champi0N
6,8,Tag,"22,55",SoGe
6,9,"Tunnel Terror","1:04,52",Dr_Luni
6,10,"The Steppes","13,86",mr
6,11,"Gravity Ride","26,52",Joni
6,12,"Islands in the Sky","22,84",Gazoline
6,13,"Hill Legend","17,87",LocDog
6,14,Loop-de-Loop,"18,35",DeG
6,15,"Serpents Tale","1:07,53",zeth
6,16,"New Wave","1:34,20",Champi0N
6,17,Labyrinth,"58,87",YeeS
6,18,Spiral,"46,79",ZanguiZ
6,19,Turnaround,"40,74",Champi0N
6,20,"Upside Down","1:07,90",Joni
6,21,Hangman,"15,15",elg
6,22,Slalom,"42,86",TuA
6,23,"Quick Round","48,29","3 Litre"
6,24,"Ramp Frenzy","1:00,02",Jokke
6,25,Precarious,"25,11","AnTTiM [HfK]"
6,26,Circuitous,"28,15",psy
6,27,"Shelf Life","38,00",Champi0N
6,28,"Bounce Back","54,84",Petri
6,29,Headbanger,"49,82",zeth
6,30,Pipe,"34,57",Tookai
6,31,"Animal Farm","1:28,81",KingKong
6,32,"Steep Corner","44,27",KingKong
6,33,Zig-Zag,"1:43,44",Champi0N
6,34,"Bumpy Journey","38,53",Garion
6,35,"Labyrinth Pro","2:38,45",loX
6,36,"Fruit in the Den","1:04,57",Jokke
6,37,Jaws,"1:01,83",DMC
6,38,Curvaceous,"33,89",Stene
6,39,Haircut,"45,41",Garion
6,40,"Double Trouble","1:30,85",loX
6,41,Framework,"40,88",KingKong
6,42,Enduro,"51,68",Jokke
6,43,"He He","1:02,59",Karlis
6,44,Freefall,"33,71",Joni
6,45,Sink,"33,85",zyntifox
6,46,Bowling,"1:10,11",zeth
